Stock name,Max train val,Min train val,Train vals range,Train RMSE,Train NRMSE,Max test val,Min test val,Test vals range,TestRMSE,TestNRMSE
10_SamSungMul_028260,132375.0,105125.0,27250.0,154.39729208006597,0.005665955672662972,111375.0,95925.0,15450.0,279.36452560338523,0.01808184631737121
11_ShinHan_055550,48400.00000000001,41212.5,7187.500000000007,38.88350793755438,0.005409879365224951,43912.5,39324.99999999999,4587.500000000007,46.45536876391366,0.010126510902215497
12_Hyundai_MobiS_012330,249125.0,173624.99999999997,75500.00000000003,240.10736124590295,0.003180229950276859,206875.0,165125.0,41750.0,336.51664873804776,0.008060279011689767
13_SK_034730,305625.0,246625.0,59000.0,408.64876814143753,0.006926250307481992,285625.0,251750.0,33875.0,344.5466104724252,0.010171117652322514
14_LG_health_051900,1495750.0,1013250.0000000001,482499.9999999999,1535.9786238585925,0.0031833753862354256,1211750.0,1026250.0,185500.0,1862.0272968764957,0.010037883002029626
15_SK_INNO_096770,226500.0,182625.0,43875.0,313.19833492762723,0.007138423588094068,214500.0,172500.0,42000.0,287.5976436775958,0.0068475629447046615
16_SAMSUNG_HEALTH_032830,115500.0,89649.99999999999,25850.000000000015,103.75256900255283,0.004013639032980765,93975.0,82025.0,11950.0,83.20901611316839,0.006963097582691915
17_SAMSUNG_SDS_018260,247000.0,180750.0,66250.0,330.71752494813046,0.004991962640726498,204875.0,178250.0,26625.0,300.91292629297925,0.011301893945276215
18_SAMSUNG_SDI_006400,262250.0,179250.0,83000.0,274.18317141955384,0.0033034117038500464,240625.0,199625.0,41000.0,270.9630262646906,0.006608854299138795
19_KT&G_033780,110500.0,95525.0,14975.0,138.5118062249294,0.009249536308843365,109375.0,97025.0,12350.0,148.4501756693012,0.01202025713921467
1_SAMSUNG_005930,53450.0,40412.5,13037.5,47.65957872147744,0.0036555765078793816,45200.0,38125.0,7075.0,71.37541305784788,0.010088397605349523
20_KIA_MOTOR_000270,35487.5,26287.5,9200.0,47.442792805623796,0.005156825304959109,34137.5,27112.499999999996,7025.000000000004,73.81836983083058,0.01050795300082997
21_SAMSUNG_INSURANCE_000810,287875.0,249500.0,38375.0,257.6854048425709,0.006714929116418786,289125.0,269000.0,20125.0,280.8051031857369,0.013953048605502456
22_LG_003550,81375.0,61425.0,19950.0,73.83363570740985,0.003700934120672173,75875.0,62950.0,12925.0,71.25888651581302,0.005513260078592884
23_AMOR_090430,355125.0,147500.0,207625.0,363.54712040950596,0.0017509795082938275,207875.0,146500.0,61375.0,281.9513984394769,0.0045939128055311924
24_S_OIL_010950,138750.0,100250.0,38500.0,212.38677509956383,0.005516539612975684,124375.0,101125.0,23250.0,184.48161509047583,0.007934693122171004
25_HANA_FIN_086790,47337.5,38487.5,8850.0,65.53270320157317,0.007404825220516742,39575.0,35500.0,4075.0,93.18047817974664,0.022866375013434758
26_WOORI_FIN_000030,17387.5,15112.5,2275.0,19.935439800544085,0.008762830681557839,16587.5,15187.5,1400.0,19.178643763690832,0.013699031259779166
27_LG_ELEC_066570,102875.0,59025.0,43850.0,86.96840988323392,0.0019833160748742055,74575.0,61074.99999999999,13500.000000000007,73.08389160253516,0.005413621600187787
28_LOTTE_CHEM_011170,400750.0,248374.99999999997,152375.00000000003,732.7730368319818,0.0048090109061984035,297375.0,249250.0,48125.0,334.459384710115,0.006949805396573818
29_HYANDAI_HEAVY_009540,146000.0,93925.0,52075.0,192.70463637509795,0.003700521101778165,144375.0,115750.0,28625.0,267.30908047091907,0.009338308488067042
2_SK_HYINX_000660,97550.0,63250.0,34300.0,83.27504215454822,0.0024278437945932426,74500.0,58175.00000000001,16324.999999999993,81.48751153642617,0.004991578042047547
30_KIUP_FIN_024110,17087.5,14250.000000000002,2837.499999999998,16.81703219895959,0.005926707382893252,15387.5,14237.5,1150.0,15.815835783007428,0.013752900680876024
31_KOREA_YEN_010130,455375.0,365125.0,90250.0,403.0981435919341,0.004466461424841375,459374.99999999994,365625.0,93749.99999999994,479.45600278848076,0.005114197363077131
32_SAMSUNG_EL_009150,165250.0,107500.0,57750.0,214.99233768565216,0.003722811042175795,137875.0,99825.0,38050.0,292.88470025071626,0.007697364001332885
33_KANGWON_035250,30200.0,25325.0,4875.0,29.01184063654606,0.0059511467972402175,34250.0,27512.5,6737.5,193.48834076229977,0.02871812107789236
34_LG_DISPLAY_034220,23837.5,15675.0,8162.5,27.12839227395961,0.0033235396354008707,18737.5,15962.5,2775.0,23.4499120421165,0.008450418753915856
35_LOTTE_004990,62925.0,46875.0,16050.0,78.7792575593895,0.004908364956971309,58200.0,47075.0,11125.0,80.90190653094427,0.007272081485927575
36_LOTTE_SHOP_023530,245750.0,178000.0,67750.0,249.94169147439308,0.003689176257924621,229000.0,192125.0,36875.0,238.74951198442238,0.006474563036865692
37_HYANDAI_IRON_004020,73425.0,40600.0,32825.0,90.07310105241768,0.002744039636021864,48187.5,40800.0,7387.5,67.35529686302428,0.009117468272490596
38_HYANDAI_BUILD_000720,79099.99999999999,43162.5,35937.499999999985,168.71184354686093,0.004694590429130045,60050.0,44450.0,15600.0,172.3527453223202,0.011048252905276936
39_HYANDAI_HEAVY_267250,443500.0,321250.0,122250.0,573.47769339543,0.004691024076854233,403625.0,340000.0,63625.0,621.0360699059653,0.009760881255889435
3_Celltrion_068270,311000.0,213125.0,97875.0,411.93951307164144,0.004208832828318175,249750.0,198625.0,51125.0,449.70263964434054,0.008796139650745048
