20181011,0
20181012,0
20181015,0
20181016,0
20181017,0
20181018,0
20181019,0
20181022,0
20181023,0
20181024,0
20181025,0
20181026,0
20181029,0
20181030,0.0006017126085509569
20181031,-0.00950254248628396
20181101,-0.003091452116921548
20181102,-0.00308520395848419
20181105,-0.005794790402390067
20181106,-0.0019664581535806733
20181107,-0.011044935238519538
20181108,-0.007146955084724875
20181109,-0.009301373849959842
20181112,-0.010525404362137978
20181113,-0.006890298101999414
20181114,-0.006047029949603271
20181115,-0.001913475389259138
20181116,-0.003494597495527728
20181119,-0.00858813228890627
20181120,-0.014270656429552045
20181121,-0.005286294675910345
20181122,-0.010302804700652124
20181123,-0.010842662234315643
20181126,-0.002377121707197198
20181127,-0.0017329878699013479
20181128,-0.0007515967430492415
20181129,-0.0006346153846153846
20181130,0.0017028921998247148
20181203,0.001909068865179437
20181204,-0.01598793161247067
20181205,-0.008796124031007753
20181206,-0.014083704623475276
20181207,-0.0022081198227701846
20181210,-0.008354592610057587
20181211,0.06772374902177415
20181212,-0.0030348335846732224
20181213,-0.0028309160305343513
20181214,-0.011168765743073046
20181217,-0.005330626765721461
20181218,-0.010227776637240811
20181219,-0.004337488991095019
20181220,-0.009926365508053786
20181221,-0.0057400914457244046
20181224,-0.009172582092901489
Average daily profit: ,-0.0032802619891879542
