Stock name,Max train val,Min train val,Train vals range,Train RMSE,Train NRMSE,Max test val,Min test val,Test vals range,TestRMSE,TestNRMSE
10_SamSungMul_028260,132375.0,105125.0,27250.0,161.43698415749984,0.005924292996605499,111375.0,95925.0,15450.0,576.5275866283718,0.03731570139989461
11_ShinHan_055550,48400.00000000001,41212.5,7187.500000000007,36.55989689640974,0.005086594350804829,43912.5,39324.99999999999,4587.500000000007,67.88814551787158,0.01479850583495836
12_Hyundai_MobiS_012330,249125.0,173624.99999999997,75500.00000000003,242.00213297075425,0.0032053262645133002,206875.0,165125.0,41750.0,764.9468246439394,0.018322079632190166
13_SK_034730,305625.0,246625.0,59000.0,279.2609031522663,0.004733235646648581,285625.0,251750.0,33875.0,279.0416082715502,0.008237390650082664
14_LG_health_051900,1495750.0,1013250.0000000001,482499.9999999999,1452.738055597674,0.0030108560737775636,1211750.0,1026250.0,185500.0,1442.2491754597413,0.007774928169594293
15_SK_INNO_096770,226500.0,182625.0,43875.0,200.5848973011677,0.004571735551023765,214500.0,172500.0,42000.0,309.55282032056215,0.007370305245727671
16_SAMSUNG_HEALTH_032830,115500.0,89649.99999999999,25850.000000000015,97.22730713595125,0.0037612111077737404,93975.0,82025.0,11950.0,271.01528134355607,0.022679103041301763
17_SAMSUNG_SDS_018260,247000.0,180750.0,66250.0,265.1792372818226,0.00400270546840487,204875.0,178250.0,26625.0,432.2595698946343,0.01623510121669988
18_SAMSUNG_SDI_006400,262250.0,179250.0,83000.0,303.8697664900471,0.0036610815239764708,240625.0,199625.0,41000.0,305.17380770789276,0.007443263602631531
19_KT&G_033780,110500.0,95525.0,14975.0,127.43063440172614,0.008509558223821444,109375.0,97025.0,12350.0,133.26060813965577,0.010790332642887108
1_SAMSUNG_005930,53450.0,40412.5,13037.5,39.08454678042788,0.0029978559371373254,45200.0,38125.0,7075.0,97.65826257686967,0.013803287996730695
20_KIA_MOTOR_000270,35487.5,26287.5,9200.0,29.289885477754186,0.003183683204103716,34137.5,27112.499999999996,7025.000000000004,34.13147525688777,0.004858572990304306
21_SAMSUNG_INSURANCE_000810,287875.0,249500.0,38375.0,252.5497668560012,0.006581101416443028,289125.0,269000.0,20125.0,266.94646649168806,0.013264420695239159
22_LG_003550,81375.0,61425.0,19950.0,71.25174769231393,0.0035715161750533297,75875.0,62950.0,12925.0,72.01462981367376,0.005571731513630465
23_AMOR_090430,355125.0,147500.0,207625.0,400.570287976345,0.0019292969920594583,207875.0,146500.0,61375.0,1208.1452099171743,0.019684647004760476
24_S_OIL_010950,138750.0,100250.0,38500.0,172.16444659710925,0.004471803807717123,124375.0,101125.0,23250.0,174.8472783098282,0.007520313045584009
25_HANA_FIN_086790,47337.5,38487.5,8850.0,48.7028985609789,0.005503152379771627,39575.0,35500.0,4075.0,498.03477617124236,0.12221712298680794
26_WOORI_FIN_000030,17387.5,15112.5,2275.0,16.8831920614567,0.007421183323717231,16587.5,15187.5,1400.0,16.075822367847238,0.011482730262748026
27_LG_ELEC_066570,102875.0,59025.0,43850.0,97.64088080047456,0.00222670195668129,74575.0,61074.99999999999,13500.000000000007,89.7028987207601,0.006644659164500744
28_LOTTE_CHEM_011170,400750.0,248374.99999999997,152375.00000000003,446.640632392543,0.0029311936498280095,297375.0,249250.0,48125.0,406.01877136472336,0.008436753690695551
29_HYANDAI_HEAVY_009540,146000.0,93925.0,52075.0,201.5819038248481,0.0038709919121430263,144375.0,115750.0,28625.0,247.10096159200552,0.008632348003214167
2_SK_HYINX_000660,97550.0,63250.0,34300.0,89.45429645539303,0.002607996981206794,74500.0,58175.00000000001,16324.999999999993,219.65394790408814,0.0134550657215368
30_KIUP_FIN_024110,17087.5,14250.000000000002,2837.499999999998,17.25794462562012,0.00608209502224498,15387.5,14237.5,1150.0,16.345275074518508,0.014213282673494355
31_KOREA_YEN_010130,455375.0,365125.0,90250.0,402.2063503238281,0.004456580058989785,459374.99999999994,365625.0,93749.99999999994,442.9788309603304,0.004725107530243527
32_SAMSUNG_EL_009150,165250.0,107500.0,57750.0,220.21823983713517,0.003813302854322687,137875.0,99825.0,38050.0,558.164517672316,0.014669238309390698
33_KANGWON_035250,30200.0,25325.0,4875.0,24.853659300663473,0.00509818652321302,34250.0,27512.5,6737.5,139.25863717769187,0.020669185480919016
34_LG_DISPLAY_034220,23837.5,15675.0,8162.5,27.782461191001875,0.0034036705900155435,18737.5,15962.5,2775.0,23.191964125771225,0.008357464549827468
35_LOTTE_004990,62925.0,46875.0,16050.0,60.17301132643942,0.003749097278905883,58200.0,47075.0,11125.0,60.166993421256024,0.0054082690715735755
36_LOTTE_SHOP_023530,245750.0,178000.0,67750.0,261.95308426813716,0.003866466188459589,229000.0,192125.0,36875.0,255.01142146074355,0.006915563971816774
37_HYANDAI_IRON_004020,73425.0,40600.0,32825.0,83.60647135708999,0.0025470364465221625,48187.5,40800.0,7387.5,84.69609816658978,0.011464784861805723
