Stock name,Max train val,Min train val,Train vals range,Train RMSE,Train NRMSE,Max test val,Min test val,Test vals range,TestRMSE,TestNRMSE
10_SamSungMul_028260,132375.0,105125.0,27250.0,151.19758454531737,0.005548535212672197,111375.0,95925.0,15450.0,386.91350414780106,0.02504294525228486
11_ShinHan_055550,48400.00000000001,41212.5,7187.500000000007,40.70700760199855,0.00566358366636501,43912.5,39324.99999999999,4587.500000000007,82.22346558044069,0.017923371243692764
12_Hyundai_MobiS_012330,249125.0,173624.99999999997,75500.00000000003,281.6216932613721,0.0037300886524685036,206875.0,165125.0,41750.0,845.9070941765324,0.020261247764707363
13_SK_034730,305625.0,246625.0,59000.0,313.03693580404484,0.005305710776339743,285625.0,251750.0,33875.0,314.2515296626923,0.009276797923621913
14_LG_health_051900,1495750.0,1013250.0000000001,482499.9999999999,1748.601050089509,0.003624043627128517,1211750.0,1026250.0,185500.0,1816.8295997896234,0.009794229648461581
15_SK_INNO_096770,226500.0,182625.0,43875.0,225.89327284827814,0.005148564623322579,214500.0,172500.0,42000.0,380.38681955449596,0.00905682903701181
16_SAMSUNG_HEALTH_032830,115500.0,89649.99999999999,25850.000000000015,103.95977145011226,0.004021654601551729,93975.0,82025.0,11950.0,353.1689075503592,0.02955388347701751
17_SAMSUNG_SDS_018260,247000.0,180750.0,66250.0,308.2614773060312,0.004653003431034433,204875.0,178250.0,26625.0,541.5038967201239,0.02033817452469949
18_SAMSUNG_SDI_006400,262250.0,179250.0,83000.0,374.56198136451815,0.004512794956199014,240625.0,199625.0,41000.0,336.9669418354813,0.008218705898426373
19_KT&G_033780,110500.0,95525.0,14975.0,126.81321086300403,0.008468327937429318,109375.0,97025.0,12350.0,133.56490632970596,0.010814972172445828
1_SAMSUNG_005930,53225.0,40412.5,12812.5,45.61751993462516,0.003560391799775622,45200.0,38125.0,7075.0,122.87438745920203,0.01736740458787308
20_KIA_MOTOR_000270,35487.5,26287.5,9200.0,34.87259000620583,0.0037904989137180255,34137.5,27112.499999999996,7025.000000000004,41.897091521229164,0.005963998793057529
21_SAMSUNG_INSURANCE_000810,287875.0,249500.0,38375.0,278.5748725763889,0.00725928006713717,289125.0,269000.0,20125.0,301.8825525565445,0.01500037528231277
22_LG_003550,81375.0,61425.0,19950.0,83.75508042437271,0.004198249645331965,75875.0,62950.0,12925.0,85.86922650656962,0.006643653888322601
23_AMOR_090430,355125.0,147500.0,207625.0,508.67177636894075,0.0024499543714337907,207875.0,146500.0,61375.0,1731.7705296745485,0.0282162204427625
24_S_OIL_010950,138750.0,100250.0,38500.0,178.46386058736016,0.004635424950321043,124375.0,101125.0,23250.0,182.27281262432166,0.007839690865562222
25_HANA_FIN_086790,47337.5,38487.5,8850.0,46.318040346064464,0.005233676875261522,39575.0,35500.0,4075.0,347.3299458179737,0.08523434253201809
26_WOORI_FIN_000030,17387.5,15112.5,2275.0,17.444635763109968,0.0076679717640043814,16587.5,15187.5,1400.0,16.011573336847174,0.011436838097747981
27_LG_ELEC_066570,102625.0,59025.0,43600.0,121.50172931833562,0.0027867369109710006,74575.0,61074.99999999999,13500.000000000007,117.20548325542104,0.008681887648549703
28_LOTTE_CHEM_011170,400125.0,248374.99999999997,151750.00000000003,510.4810129524208,0.003363960546638687,297375.0,249250.0,48125.0,574.2424421800018,0.011932310486857181
29_HYANDAI_HEAVY_009540,146000.0,93925.0,52075.0,220.90003204075236,0.004241959328675033,144375.0,115750.0,28625.0,254.21938026177787,0.00888102638469093
2_SK_HYINX_000660,97550.0,63250.0,34300.0,111.62889560874333,0.0032544867524414967,74500.0,58175.00000000001,16324.999999999993,307.7095286309388,0.01884897572011877
30_KIUP_FIN_024110,17087.5,14250.000000000002,2837.499999999998,18.133302375802177,0.006390591145657159,15387.5,14237.5,1150.0,16.431540501606836,0.014288296088353771
31_KOREA_YEN_010130,455375.0,365125.0,90250.0,467.77580334368025,0.005183111394389809,459374.99999999994,365625.0,93749.99999999994,528.9892694091815,0.005642552207031273
32_SAMSUNG_EL_009150,165250.0,107500.0,57750.0,257.972387319866,0.004467054325885126,137875.0,99825.0,38050.0,728.778170873346,0.01915317137643485
33_KANGWON_035250,30200.0,25325.0,4875.0,31.072412751006713,0.0063738282566167615,34250.0,27512.5,6737.5,167.27327727814065,0.024827202564473565
34_LG_DISPLAY_034220,23837.5,15675.0,8162.5,31.304210089079465,0.003835125278907132,18737.5,15962.5,2775.0,29.256224938404653,0.010542783761587262
35_LOTTE_004990,62925.0,46875.0,16050.0,68.08732220267494,0.004242200760291273,58200.0,47075.0,11125.0,66.80279565079948,0.006004745676476358
36_LOTTE_SHOP_023530,245750.0,178000.0,67750.0,293.0954067246663,0.00432613146457072,229000.0,192125.0,36875.0,294.2199983240219,0.007978847412176865
